GEOID,nearest_miles,area_type,threshold_mi,is_desert,SVI,in_mua
12087980100,77.20143233055745,rural,10.0,True,0.6822,True
12087980000,33.66939270688578,rural,10.0,True,0.6822,True
12075990000,33.439093630587934,rural,10.0,True,0.7582,True
12037990000,31.527419333218567,rural,10.0,True,0.9017,True
12037970200,30.303995520639926,rural,10.0,True,0.9017,True
12087990000,29.454724385628264,rural,10.0,True,0.6822,True
12097043802,28.220955050410247,rural,10.0,True,0.8307,True
12021011107,27.644143849329943,rural,10.0,True,0.6141,True
12123990000,26.52230109575993,rural,10.0,True,0.8062,True
12077950100,24.83287700513008,rural,10.0,True,0.8266,True
12045960101,24.797484176848624,rural,10.0,True,0.7082,True
12037970304,24.47339580636493,rural,10.0,True,0.9017,True
12037990100,24.242522930070162,rural,10.0,True,0.9017,True
12087971502,24.232883975270518,rural,10.0,True,0.6822,True
12037970101,23.73993996634318,rural,10.0,True,0.9017,True
12065990000,22.625933432137874,rural,10.0,True,0.7439,True
12005000301,20.66525600220794,rural,10.0,True,0.7407,True
12075970400,20.595091824013924,rural,10.0,True,0.7582,True
12045960102,20.41144354813455,rural,10.0,True,0.7082,True
12029990000,20.162363241743233,rural,10.0,True,0.7719,True
12087971501,19.634356042148315,rural,10.0,True,0.6822,True
12077950201,19.224961296616893,rural,10.0,True,0.8266,True
12017990000,19.202111034401273,rural,10.0,True,0.5698,True
12065250200,18.82731759196537,rural,10.0,True,0.7439,True
12065250104,18.800102218454853,rural,10.0,True,0.7439,True
12081002010,18.6754687811368,rural,10.0,True,0.6332,True
12087971401,18.646241766569837,rural,10.0,True,0.6822,True
12129990000,18.308791408692294,rural,10.0,True,0.3058,True
12059960201,18.198637424668892,rural,10.0,True,0.8081,True
12005002706,18.093632293539926,rural,10.0,True,0.7407,True
12005990000,17.94527921261158,rural,10.0,True,0.7407,True
12005002707,17.702809537117158,rural,10.0,True,0.7407,True
12086011408,17.62013402906321,rural,10.0,True,0.881,True
12047960300,17.452005196475408,rural,10.0,True,0.9803,True
12005000600,17.164509630091032,rural,10.0,True,0.7407,True
12131950104,16.845110090654693,rural,10.0,True,0.6287,True
12083000601,16.745017118259533,rural,10.0,True,0.8196,True
